iter	Passed	Remaining
700	1239	16437
701	1240	16434
702	1242	16437
703	1244	16433
704	1246	16437
705	1248	16438
706	1251	16453
707	1253	16451
708	1255	16446
709	1256	16443
710	1258	16439
711	1259	16434
712	1261	16429
713	1263	16428
714	1265	16429
715	1267	16428
716	1270	16453
717	1272	16454
718	1274	16453
719	1276	16452
720	1278	16453
721	1279	16447
722	1281	16441
723	1282	16436
724	1284	16431
725	1285	16426
726	1287	16424
727	1291	16443
728	1293	16454
729	1296	16460
730	1297	16455
731	1299	16451
732	1300	16445
733	1302	16439
734	1303	16436
735	1306	16445
736	1309	16455
737	1311	16458
738	1313	16455
739	1314	16450
740	1316	16445
741	1317	16440
742	1319	16437
743	1321	16439
744	1324	16452
745	1326	16454
746	1328	16453
747	1329	16450
748	1331	16445
749	1332	16438
750	1334	16433
751	1337	16452
752	1339	16450
753	1341	16446
754	1342	16442
755	1344	16438
756	1345	16432
757	1347	16431
758	1349	16428
759	1350	16425
760	1352	16425
761	1354	16421
762	1356	16421
763	1358	16417
764	1359	16417
765	1361	16412
766	1362	16406
767	1364	16400
768	1365	16395
769	1367	16392
770	1369	16394
771	1371	16389
772	1372	16384
773	1374	16378
774	1376	16385
775	1378	16382
776	1379	16379
777	1381	16374
778	1383	16372
779	1384	16368
780	1386	16363
781	1387	16357
782	1389	16352
783	1391	16353
784	1393	16352
785	1394	16349
786	1396	16344
787	1397	16339
788	1399	16335
789	1400	16330
790	1402	16326
791	1403	16322
792	1405	16318
793	1407	16320
794	1409	16315
795	1411	16318
796	1412	16315
797	1414	16309
798	1416	16306
799	1417	16301
800	1419	16296
801	1420	16291
802	1422	16288
803	1423	16286
804	1425	16281
805	1426	16276
806	1428	16272
807	1429	16267
808	1431	16262
809	1432	16257
810	1434	16255
811	1436	16251
812	1437	16246
813	1439	16243
814	1440	16238
815	1442	16234
816	1444	16231
817	1445	16227
818	1447	16223
819	1448	16218
820	1450	16218
821	1452	16216
822	1454	16220
823	1456	16220
824	1458	16220
825	1460	16219
826	1463	16229
827	1465	16233
828	1467	16229
829	1468	16224
830	1470	16221
831	1472	16224
832	1473	16220
833	1475	16214
834	1476	16211
835	1478	16205
836	1479	16202
837	1481	16198
838	1483	16196
839	1484	16192
840	1486	16188
841	1488	16186
842	1489	16183
843	1491	16183
844	1493	16177
845	1494	16173
846	1496	16175
847	1498	16172
848	1500	16169
849	1501	16165
850	1503	16165
851	1505	16159
852	1506	16154
853	1507	16149
854	1509	16147
855	1511	16143
856	1512	16139
857	1514	16135
858	1515	16131
859	1517	16127
860	1519	16128
861	1521	16124
862	1522	16119
863	1524	16116
864	1525	16111
865	1527	16107
866	1528	16104
867	1530	16101
868	1532	16099
869	1534	16098
870	1535	16093
871	1537	16091
872	1538	16086
873	1540	16083
874	1541	16079
875	1543	16074
876	1544	16069
877	1546	16066
878	1547	16061
879	1549	16057
880	1551	16055
881	1552	16050
882	1554	16047
883	1555	16042
884	1557	16038
885	1558	16033
886	1560	16031
887	1561	16026
888	1563	16023
889	1564	16018
890	1566	16015
891	1568	16011
892	1569	16007
893	1571	16003
894	1572	16001
895	1574	15999
896	1576	15994
897	1577	15990
898	1579	15988
899	1580	15985
900	1582	15982
901	1584	15978
902	1585	15974
903	1587	15971
904	1588	15966
905	1590	15962
906	1591	15959
907	1593	15955
908	1595	15953
909	1596	15948
910	1598	15944
911	1599	15939
912	1601	15936
913	1602	15931
914	1604	15928
915	1606	15934
916	1608	15929
917	1609	15925
918	1611	15923
919	1613	15922
920	1615	15921
921	1616	15917
922	1618	15914
923	1619	15910
924	1621	15907
925	1622	15903
926	1624	15901
927	1626	15899
928	1627	15895
929	1629	15891
930	1631	15888
931	1632	15885
932	1634	15881
933	1635	15877
934	1637	15874
935	1638	15869
936	1640	15865
937	1641	15861
938	1643	15857
939	1645	15856
940	1646	15853
941	1648	15849
942	1649	15845
943	1651	15843
944	1653	15839
945	1654	15839
946	1656	15836
947	1658	15833
948	1659	15828
949	1661	15825
950	1662	15822
951	1664	15819
952	1666	15816
953	1667	15813
954	1669	15810
955	1670	15806
956	1672	15801
957	1673	15798
958	1675	15794
959	1677	15793
960	1678	15789
961	1680	15786
962	1681	15782
963	1683	15778
964	1684	15774
965	1686	15770
966	1687	15766
967	1689	15762
968	1690	15759
969	1692	15755
970	1693	15751
971	1695	15750
972	1697	15747
973	1698	15743
974	1700	15738
975	1701	15734
976	1703	15731
977	1704	15727
978	1706	15722
979	1707	15718
980	1709	15715
981	1710	15711
982	1712	15708
983	1713	15704
984	1715	15699
985	1716	15695
986	1718	15691
987	1719	15687
988	1721	15685
989	1723	15683
990	1724	15679
991	1727	15684
992	1729	15684
993	1730	15681
994	1732	15677
995	1733	15674
996	1735	15670
997	1737	15670
998	1738	15665
999	1740	15662
1000	1741	15658
1001	1743	15654
1002	1744	15652
1003	1746	15648
1004	1747	15644
1005	1749	15643
1006	1751	15639
1007	1752	15635
1008	1754	15631
1009	1755	15627
1010	1757	15624
1011	1758	15621
1012	1760	15618
1013	1762	15614
1014	1763	15611
1015	1765	15607
1016	1766	15603
1017	1768	15600
1018	1769	15597
1019	1771	15594
1020	1772	15592
1021	1774	15588
1022	1776	15584
1023	1778	15586
1024	1779	15584
1025	1781	15581
1026	1783	15578
1027	1784	15576
1028	1786	15573
1029	1787	15570
1030	1789	15566
1031	1790	15562
1032	1792	15560
1033	1794	15557
1034	1795	15553
1035	1797	15552
1036	1799	15551
1037	1800	15547
1038	1802	15544
1039	1804	15543
1040	1805	15540
1041	1807	15537
1042	1808	15533
1043	1810	15530
1044	1811	15526
1045	1813	15524
1046	1815	15521
1047	1816	15518
1048	1818	15515
1049	1819	15511
1050	1821	15508
1051	1822	15505
1052	1824	15501
1053	1825	15498
1054	1827	15494
1055	1828	15491
1056	1830	15488
1057	1832	15485
1058	1834	15492
1059	1836	15490
1060	1838	15486
1061	1839	15483
1062	1841	15479
1063	1842	15476
1064	1844	15473
1065	1845	15469
1066	1847	15467
1067	1849	15464
1068	1850	15460
1069	1852	15457
1070	1853	15454
1071	1855	15450
1072	1856	15447
1073	1858	15443
1074	1860	15443
1075	1861	15440
1076	1863	15437
1077	1864	15433
1078	1866	15436
1079	1868	15433
1080	1870	15430
1081	1871	15426
1082	1873	15423
1083	1874	15420
1084	1876	15417
1085	1878	15415
1086	1879	15412
1087	1881	15408
1088	1882	15405
1089	1884	15400
1090	1886	15402
1091	1887	15399
1092	1889	15396
1093	1890	15393
1094	1892	15389
1095	1893	15386
1096	1895	15382
1097	1896	15378
1098	1898	15374
1099	1899	15371
1100	1901	15368
1101	1902	15365
1102	1904	15361
1103	1905	15357
1104	1907	15354
1105	1908	15350
1106	1910	15347
1107	1911	15344
1108	1913	15340
1109	1915	15338
1110	1916	15336
1111	1918	15332
1112	1919	15329
1113	1921	15325
1114	1922	15321
1115	1924	15317
1116	1925	15314
1117	1927	15310
1118	1928	15307
1119	1930	15303
1120	1931	15300
1121	1933	15297
1122	1934	15295
1123	1936	15291
1124	1937	15287
1125	1939	15283
1126	1941	15282
1127	1942	15279
1128	1944	15276
1129	1945	15274
1130	1947	15270
1131	1948	15267
1132	1950	15263
1133	1951	15260
1134	1953	15256
1135	1954	15252
1136	1956	15248
1137	1957	15245
1138	1959	15243
1139	1961	15242
1140	1962	15240
1141	1964	15239
1142	1966	15236
1143	1967	15232
1144	1969	15229
1145	1970	15225
1146	1972	15222
1147	1974	15222
1148	1975	15221
1149	1977	15218
1150	1979	15219
1151	1981	15217
1152	1983	15218
1153	1985	15218
1154	1987	15216
1155	1988	15213
1156	1990	15214
1157	1992	15214
1158	1994	15214
1159	1996	15214
1160	1998	15213
1161	2000	15212
1162	2001	15209
1163	2003	15206
1164	2005	15205
1165	2006	15204
1166	2009	15208
1167	2012	15218
1168	2014	15220
1169	2016	15217
1170	2017	15214
1171	2019	15211
1172	2021	15208
1173	2023	15211
1174	2025	15209
1175	2026	15206
1176	2028	15202
1177	2029	15199
